id_proyecto_desarrollo,resultado,macro_distrito,distrito_municipal,cantidad_pisos,superficie_legal,superficie_construida,latitude,longitude,gral__patron_de_asentamiento,gral__zona_referencial,par__ale_sub_area_de_lote_edificable,par__altillo,par__amc_sub_area_maxima_a_cubrir_sub_sotano,par__ame_sub_area_maxima_a_edificar_sub_zocalo,par__amf_sub_altura_maxima_de_fachada_sub_sotano,par__amv_sub_area_minima_verde,par__fml_sub_frente_minimo_de_lote,par__fondo,par__lateral_1,par__lateral_2,par__mezzanine,par__nmp_sub_numero_minimo_de_parqueos,par__rme_sub_retiro_minimo_de_edificacion_torre_sub_frontal,par__rme_zocalo_sub_retiro_minimo_de_edificacion_zocalo_sub_frontal,par__semisotano,par__torre,par__voladizo_sub_voladizo_sobre_retiro_frontal,par__zocalo,es_agil,es_ampliacion
8,OBSERVADO,VII - CENTRO,2,4,136.09,0.0,-16.490324,-68.124565,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
8,APROBADO,V - SUR,18,5,365.64,1232.69,-16.540992,-68.059075,4CC - d19,COTA COTA,365.64,0,0.0,0.0,0,73.52,19.17,6.7,3.1,0.0,0.0,6,0.0,0.0,0,5,0.0,0,False,True
8,APROBADO,V - SUR,18,3,300.0,285.28,-16.511016,-68.088538,4P.R - d18,IRPAVI,300.0,0,0.0,0.0,0,0.0,19.93,0.0,0.0,0.0,0.0,2,10.68,0.0,0,3,0.0,0,False,True
8,OBSERVADO,I - COTAHUMA,5,2,159.2,0.0,-16.511132,-68.146377,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
8,OBSERVADO,IV - SAN ANTONIO,14,3,88.0,0.0,-16.48986,-68.114337,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
9,OBSERVADO,I - COTAHUMA,4,2,165.0,0.0,-16.52036,-68.144849,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
8,OBSERVADO,VI - MALLASA,20,2,348.67,0.0,-16.567018,-68.099104,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
9,APROBADO,I - COTAHUMA,6,5,215.0,907.43,-16.501538,-68.141229,3C - d6,SAN PEDRO ALTO,215.0,0,0.0,0.0,0,25.25,10.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,5,1.0,0,False,True
8,OBSERVADO,III - PERIFERICA,13,4,296.92,0.0,-16.46633,-68.115343,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
8,APROBADO,IV - SAN ANTONIO,17,4,267.0,531.12,-16.514355,-68.108029,3 - d17,SAN ISIDRO,257.61,0,0.0,0.0,0,81.56,45.16,0.0,0.0,0.0,0.0,0,0.0,0.0,0,4,0.6,0,False,True
9,OBSERVADO,II - MAXIMILIANO PAREDES,9,3,134.0,0.0,-16.491079,-68.158167,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
