error,gral__codigo_catastral,gral__fecha_aprobacion,gral__informe,gral__normativa_segun_informe,gral__patron_de_asentamiento,gral__zona_referencial,identificador_b64,otro__arquitecto_reponsable,otro__tipo_de_obra,otro__tipo_de_proyecto,par__ale_sub_area_de_lote_edificable,par__altillo,par__amc_sub_area_maxima_a_cubrir_sub_sotano,par__ame_sub_area_maxima_a_edificar_sub_zocalo,par__amf_sub_altura_maxima_de_fachada_sub_sotano,par__amv_sub_area_minima_verde,par__fml_sub_frente_minimo_de_lote,par__fondo,par__lateral_1,par__lateral_2,par__mezzanine,par__nmp_sub_numero_minimo_de_parqueos,par__rme_sub_retiro_minimo_de_edificacion_torre_sub_frontal,par__rme_zocalo_sub_retiro_minimo_de_edificacion_zocalo_sub_frontal,par__semisotano,par__torre,par__voladizo_sub_voladizo_sobre_retiro_frontal,par__zocalo,url
,044 0187 0033 0000,12/dic./2017,DATC PIAC SUR 1363/2017,,4CC - d19,COTA COTA,MDQ0MDE4NzAwMzMwMDAwfDl8MjAxNw==,ARIEL HUANCA RODRIGUEZ,Construcción Nueva,Residencial,365.64 m2,null plantas,0.00 m2,0.00 m2,null plantas,73.52 m2,19.17 ml,6.70 ml,3.10 ml,0.00 ml,0.00 m2,6 unidades,0.00 ml,0.00 ml,null plantas,5 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MDE4NzAwMzMwMDAwfDl8MjAxNw==
,044 2875 0001 0000,15/dic./2017,PIAC SUR 1376,,4P.R - d18,IRPAVI,MDQ0Mjg3NTAwMDEwMDAwfDEwfDIwMTc=,MARIO GENARO VEIZAGA GUTIERREZ,Construcción Nueva,Residencial,300.00 m2,null plantas,0.00 m2,0.00 m2,null plantas,0.00 m2,19.93 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,2 unidades,10.68 ml,0.00 ml,null plantas,3 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0Mjg3NTAwMDEwMDAwfDEwfDIwMTc=
,044 0415 0014 0000,19/dic./2017,DATC PIAC SUR 1388,,4AC - d18,ACHUMANI,MDQ0MDQxNTAwMTQwMDAwfDI5fDIwMTc=,NICOLAS BOHORQUEZ PEÑARANDA,Construcción Nueva,Hospedaje,600.00 m2,1 plantas,560.28 m2,0.00 m2,1 plantas,185.55 m2,20.00 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,5 unidades,3.00 ml,0.00 ml,0 plantas,5 plantas,0.93 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MDQxNTAwMTQwMDAwfDI5fDIwMTc=
,026 0003 0090 0000,19/dic./2017,DATC PIAC CAMACHO 1618/2017,,3C - d6,SAN PEDRO ALTO,MDI2MDAwMzAwOTAwMDAwfDM3fDIwMTc=,VICTOR RAMOS MAMANI,Construcción Nueva,Residencial Mixta,215.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,25.25 m2,10.00 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,5 plantas,1.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDI2MDAwMzAwOTAwMDAwfDM3fDIwMTc=
,034 0717 0009 0000,12/dic./2017,DATC SERMAT II 592/2017,,3 - d17,SAN ISIDRO,MDM0MDcxNzAwMDkwMDAwfDU2fDIwMTc=,VICTOR RAMOS MAMANI,Construcción Nueva,Residencial,257.61 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,81.56 m2,45.16 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,4 plantas,0.60 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDM0MDcxNzAwMDkwMDAwfDU2fDIwMTc=
,020 0519 0025 0000,14/dic./2017,DATC SERMAT II Nº594/2017,,3 - d16,VILLA SALOME,MDIwMDUxOTAwMjUwMDAwfDY2fDIwMTc=,JULIO CONDE  CONDE,Construcción Nueva,Residencial,215.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,64.98 m2,9.87 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,1 unidades,0.00 ml,0.00 ml,0 plantas,5 plantas,0.50 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDIwMDUxOTAwMjUwMDAwfDY2fDIwMTc=
rechazada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MDA0MDAwMTYwMDAwfDczfDIwMTc=
rechazada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MDAwMTAwMDMwMDAwfDk3fDIwMTc=
,009 0087 0013 0000,12/dic./2017,DATC SERMAT II 593/2017,,2 - d11,VINO TINTO,MDA5MDA4NzAwMTMwMDAwfDExMXwyMDE3,OSVALDO QUISPE  FERNANDEZ,Construcción Nueva,Residencial,160.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,39.90 m2,8.46 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,1 unidades,0.00 ml,0.00 ml,1 plantas,3 plantas,0.50 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDA5MDA4NzAwMTMwMDAwfDExMXwyMDE3
rechazada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MTUwMzAwMDIwMDAwfDExNnwyMDE3
